"_time","avg_ResponseTime","min_ResponseTime","max_ResponseTime"
"2025-03-13T03:00:00.000-0400","3.2744285714285715","2.471","3.827"
"2025-03-13T03:15:00.000-0400","3.0345","2.470","3.285"
"2025-03-13T03:30:00.000-0400","3.392","3.227","3.493"
"2025-03-13T03:45:00.000-0400","3.0250000000000004","2.979","3.071"
"2025-03-13T04:00:00.000-0400","2.7295000000000003","2.378","3.297"
"2025-03-13T04:15:00.000-0400","3.13075","2.883","3.625"
"2025-03-13T04:30:00.000-0400","3.08725","2.463","3.784"
"2025-03-13T04:45:00.000-0400","3.37075","2.812","3.874"
"2025-03-13T05:00:00.000-0400","3.013","3.013","3.013"
"2025-03-13T05:15:00.000-0400","3.0322","2.480","3.422"
"2025-03-13T05:30:00.000-0400","2.903","2.475","3.323"
"2025-03-13T05:45:00.000-0400","2.9884999999999997","2.629","3.683"
"2025-03-13T06:00:00.000-0400","2.8973333333333335","2.749","3.067"
"2025-03-13T06:15:00.000-0400","3.144","2.515","3.997"
"2025-03-13T06:30:00.000-0400","2.7066000000000003","2.388","3.344"
"2025-03-13T06:45:00.000-0400","2.8075","2.571","3.176"
"2025-03-13T07:00:00.000-0400","2.9469166666666666","2.644","3.409"
"2025-03-13T07:15:00.000-0400","3.0646363636363634","2.590","3.686"
"2025-03-13T07:30:00.000-0400","3.2119500000000003","2.617","4.081"
"2025-03-13T07:45:00.000-0400","3.1235","2.606","3.787"
"2025-03-13T08:00:00.000-0400","2.872933333333334","2.380","3.706"
"2025-03-13T08:15:00.000-0400","2.8397333333333337","2.441","3.569"
"2025-03-13T08:30:00.000-0400","3.0894999999999997","2.622","3.485"
"2025-03-13T08:45:00.000-0400","3.0570714285714287","2.605","3.389"
"2025-03-13T09:00:00.000-0400","3.1047692307692314","2.546","3.895"
"2025-03-13T09:15:00.000-0400","3.0776","2.540","4.108"
"2025-03-13T09:30:00.000-0400","3.10296","2.587","4.333"
"2025-03-13T09:45:00.000-0400","3.1109444444444443","2.613","3.752"
"2025-03-13T10:00:00.000-0400","3.2774074074074075","2.447","4.759"
"2025-03-13T10:15:00.000-0400","2.9637000000000002","2.416","3.890"
"2025-03-13T10:30:00.000-0400","2.931055555555556","2.404","3.527"
"2025-03-13T10:45:00.000-0400","3.0417931034482755","2.507","4.164"
"2025-03-13T11:00:00.000-0400","3.0746774193548387","2.443","4.174"
"2025-03-13T11:15:00.000-0400","3.04988","2.341","3.710"
"2025-03-13T11:30:00.000-0400","3.012260869565217","2.371","3.865"
"2025-03-13T11:45:00.000-0400","2.9879615384615383","2.409","3.985"
"2025-03-13T12:00:00.000-0400","2.9529642857142853","2.533","3.437"
"2025-03-13T12:15:00.000-0400","3.3231818181818182","2.633","4.157"
"2025-03-13T12:30:00.000-0400","3.060103448275862","2.550","4.086"
"2025-03-13T12:45:00.000-0400","3.1057826086956517","2.616","3.673"
